,number,aver_price,lat,long,demand,region,geometry
95,95,1079426.454003544,35.5233618126042,129.330190881608,13,대현동,POINT (129.330190881608 35.5233618126042)
96,96,1084268.594255279,35.526528943493,129.321166606813,10,대현동,POINT (129.321166606813 35.526528943493)
97,97,1101264.173074417,35.5266574399412,129.330845473086,18,대현동,POINT (129.330845473086 35.5266574399412)
98,98,1104352.849230351,35.5260535346289,129.323761027049,10,대현동,POINT (129.323761027049 35.5260535346289)
99,99,1114790.286975717,35.5245445575991,129.332008071536,2,대현동,POINT (129.332008071536 35.5245445575991)
100,100,1117803.461934994,35.523137255009,129.329764176362,17,대현동,POINT (129.329764176362 35.523137255009)
101,101,1121979.286536248,35.5304452777445,129.326383179132,16,대현동,POINT (129.326383179132 35.5304452777445)
102,102,1129314.458406235,35.5232768821651,129.330185184169,15,대현동,POINT (129.330185184169 35.5232768821651)
103,103,1133397.007322509,35.5253967436732,129.330050288042,17,대현동,POINT (129.330050288042 35.5253967436732)
104,104,1134562.4426462,35.5293013472626,129.322899076483,4,대현동,POINT (129.322899076483 35.5293013472626)
105,105,1140626.196126464,35.5259941395429,129.32968030942,8,대현동,POINT (129.32968030942 35.5259941395429)
106,106,1144923.169629406,35.5272690474939,129.322250369769,3,대현동,POINT (129.322250369769 35.5272690474939)
107,107,1150908.340214699,35.5290907658598,129.327931220685,20,대현동,POINT (129.327931220685 35.5290907658598)
108,108,1153768.027625432,35.5297178165525,129.323256555893,17,대현동,POINT (129.323256555893 35.5297178165525)
109,109,1155209.649158551,35.529134940589,129.331453246071,9,대현동,POINT (129.331453246071 35.529134940589)
110,110,1166915.608663182,35.530218879625,129.325517391616,12,대현동,POINT (129.325517391616 35.530218879625)
111,111,1171229.43163038,35.5279479984155,129.329941948239,12,대현동,POINT (129.329941948239 35.5279479984155)
112,112,1174551.0,35.5245319344265,129.330272356857,17,대현동,POINT (129.330272356857 35.5245319344265)
113,113,1178293.309414115,35.5297271705501,129.331011976183,12,대현동,POINT (129.331011976183 35.5297271705501)
114,114,1180331.879153586,35.5296162563325,129.331055224117,7,대현동,POINT (129.331055224117 35.5296162563325)
115,115,1184897.576650154,35.5284559319017,129.33340012822,10,대현동,POINT (129.33340012822 35.5284559319017)
116,116,1189617.880317231,35.5251904879566,129.33471428399,7,야음장생포동,POINT (129.33471428399 35.5251904879566)
117,117,1191726.953441599,35.5295257428692,129.322811325703,19,대현동,POINT (129.322811325703 35.5295257428692)
118,118,1197053.406998158,35.5231907375789,129.33018295598,15,대현동,POINT (129.33018295598 35.5231907375789)
119,119,1198046.263017234,35.523142633632,129.329622535822,14,대현동,POINT (129.329622535822 35.523142633632)
120,120,1202621.829581077,35.5269387842754,129.321843506113,5,대현동,POINT (129.321843506113 35.5269387842754)
121,121,1212966.190310213,35.5331419188423,129.334851144013,10,대현동,POINT (129.334851144013 35.5331419188423)
122,122,1218250.7757729,35.5264403368414,129.329198464461,9,대현동,POINT (129.329198464461 35.5264403368414)
123,123,1228070.175438596,35.5252173959103,129.333410337123,8,야음장생포동,POINT (129.333410337123 35.5252173959103)
124,124,1228332.709814191,35.5263133157608,129.328695519851,12,대현동,POINT (129.328695519851 35.5263133157608)
125,125,1249070.0,35.5245255394352,129.330463937626,8,대현동,POINT (129.330463937626 35.5245255394352)
126,126,1262175.0,35.526538271117,129.321037936735,18,대현동,POINT (129.321037936735 35.526538271117)
127,127,1268146.170532288,35.5264306237974,129.32778806868,7,대현동,POINT (129.32778806868 35.5264306237974)
128,128,1287677.0,35.5268291096883,129.322433048792,8,대현동,POINT (129.322433048792 35.5268291096883)
129,129,1305665.656330147,35.5255084183685,129.330051611239,19,대현동,POINT (129.330051611239 35.5255084183685)
130,130,1318327.974276527,35.526712856125,129.320843544376,18,대현동,POINT (129.320843544376 35.526712856125)
131,131,1329974.811083123,35.5264537103525,129.32364095412,21,대현동,POINT (129.32364095412 35.5264537103525)
132,132,1338603.899020753,35.5261835938117,129.32920746269,8,대현동,POINT (129.32920746269 35.5261835938117)
133,133,1339829.476248478,35.5287881793688,129.330184081506,7,대현동,POINT (129.330184081506 35.5287881793688)
134,134,1340590.666263482,35.5297430827169,129.322731188531,16,대현동,POINT (129.322731188531 35.5297430827169)
135,135,1387260.648690895,35.5264383839887,129.328846048467,13,대현동,POINT (129.328846048467 35.5264383839887)
136,136,1394980.506822612,35.5250737618913,129.33048830847,8,대현동,POINT (129.33048830847 35.5250737618913)
137,137,1395447.177390937,35.5256252699372,129.320266940389,7,대현동,POINT (129.320266940389 35.5256252699372)
138,138,1406624.102154828,35.5264413101634,129.328494177882,7,대현동,POINT (129.328494177882 35.5264413101634)
140,140,1416763.0,35.5306347914371,129.334358774286,7,대현동,POINT (129.334358774286 35.5306347914371)
141,141,1430601.610611085,35.5304105080116,129.326249853766,8,대현동,POINT (129.326249853766 35.5304105080116)
142,142,1458565.0,35.5255413916756,129.334773508902,13,야음장생포동,POINT (129.334773508902 35.5255413916756)
143,143,1465584.925412196,35.523269283541,129.330360001534,18,대현동,POINT (129.330360001534 35.523269283541)
144,144,1475141.14004735,35.5269858407934,129.322538436286,23,대현동,POINT (129.322538436286 35.5269858407934)
145,145,1480051.48005148,35.5286437873666,129.33037375546,13,대현동,POINT (129.33037375546 35.5286437873666)
147,147,1520737.0,35.5284889718936,129.330445277464,12,대현동,POINT (129.330445277464 35.5284889718936)
148,148,1527369.0,35.5284600935152,129.33033432855,15,대현동,POINT (129.33033432855 35.5284600935152)
149,149,1611963.488055933,35.526178734886,129.328697633563,8,대현동,POINT (129.328697633563 35.526178734886)
